id,long,lat,elev,gwt-depth
22-01C,-120.533973,35.169763," 307.000			",16.31
22-02C,-120.533811,35.169869," 306.600			",18.22
22-03C,-120.533706,35.169957," 306.200			",17.28
22-04C,-120.533589,35.17005," 306.100			",19.66
22-05C,-120.533459,35.17012," 306.000			",18.41
22-06C,-120.533326,35.170142," 306.100			",16.41
22-07C,-120.533241,35.169829," 304.900			",18.11
22-08C,-120.533537,35.169661," 304.900			",17.19
22-09C,-120.53405,35.170179," 338.200			",29.86
22-10C,-120.533895,35.170274," 338.400			",32.23
22-11C,-120.533762,35.170362," 339.000			",30.37
22-12C,-120.533627,35.170453," 339.300			",28.82
